日付,終値,,,,,
2021/5/6,64.71,,,,,
2021/5/5,65.63,,,,,
2021/5/4,65.69,,,,,
2021/5/3,64.49,,,,,
2021/4/30,63.58,,,,,
2021/4/29,65.01,,,,,
2021/4/28,63.86,,,,,
2021/4/27,62.94,,,,,
2021/4/26,61.91,,,,,
2021/4/23,62.14,,,,,
2021/4/22,61.43,,,,,
2021/4/21,61.35,,,,,
2021/4/20,62.44,,,,,
2021/4/19,63.38,,,,,
2021/4/16,63.13,,,,,
2021/4/15,63.46,,,,,
2021/4/14,63.15,,,,,
2021/4/13,60.18,,,,,
